Epoch, TOF_1, TOF_2, TOF_3, Accel, Yaw, Pitch, Roll, LDR 
2313941785,42,101,80,232,93,89,90,752
2313941792,43,98,84,235,93,89,90,482
2313941793,43,101,84,237,93,89,90,698
2313941784,49,101,82,235,93,89,90,711
2313941785,41,101,79,235,93,89,90,731
2313941784,48,104,81,235,93,89,90,752
2313941785,44,99,76,235,93,89,90,668
2313941784,49,102,81,234,93,89,90,733
2313941785,47,102,84,235,93,89,90,675
2313941784,45,101,82,234,93,89,90,784
2313941785,45,100,84,233,93,88,90,697
2313941792,44,101,79,232,93,88,90,669
2313941793,46,102,79,237,93,88,90,720
2313941864,46,103,80,235,93,88,90,720
2313941865,48,101,83,237,93,88,90,738
2313941864,43,102,80,233,93,88,90,582
2313941865,41,102,81,232,93,88,90,669
2313941864,46,101,81,237,93,89,90,731
2313941865,46,104,84,234,93,89,90,717
2313941864,45,102,80,233,93,88,90,720
2313941865,46,103,81,237,93,88,90,752
2313941872,46,102,82,234,93,88,90,653
2313941873,40,102,81,233,93,89,90,734
2313941864,44,103,86,235,93,89,90,719
2313941865,46,103,83,236,93,89,90,666
2313941864,46,102,84,235,93,89,90,674
2313941865,30,103,80,233,93,89,90,642
2313941864,45,99,80,236,93,89,90,740
2313941865,45,100,79,238,93,88,90,735
2313941864,31,99,77,235,93,88,90,648
2313941865,44,102,82,232,93,88,90,722
2313941872,45,103,81,233,93,88,90,667
2313941873,46,104,81,234,93,89,90,693
2313941884,46,101,83,235,93,89,90,747
2313941885,46,103,84,228,93,88,90,783
2313941884,43,101,82,235,93,88,90,681
2313941885,47,101,78,234,93,88,90,656
2313941884,45,98,80,236,93,89,90,707
2313941885,46,102,77,232,93,88,90,697
2313941884,40,100,81,238,93,88,90,659
2313941885,46,104,79,230,93,88,90,747
2313941892,45,102,84,233,93,89,90,656
2313941893,45,103,81,234,93,88,90,688
2313941884,45,100,81,231,93,88,90,649
2313941885,45,102,80,237,93,88,90,709
2313941884,47,101,83,236,93,88,90,778
2313941885,43,100,79,233,93,88,90,683
2313941884,43,101,82,233,93,88,90,720
2313941885,45,100,79,236,93,89,90,736
2313941884,47,103,80,233,93,89,90,720
2313941885,46,103,80,233,93,89,90,672
2313941892,43,104,79,234,93,88,89,679
2313941893,43,103,81,238,93,89,90,547
2313941904,46,103,80,236,93,89,90,735
2313941905,45,103,82,241,93,89,90,738
2313941904,44,102,85,231,93,89,90,726
2313941905,48,104,82,241,93,89,90,586
2313941904,45,101,84,234,93,88,90,656
2313941905,43,100,81,234,93,88,90,727
2313941904,46,105,84,233,93,88,90,642
2313941905,45,100,85,235,93,88,90,765
2313941912,42,101,84,234,93,89,90,662
2313941913,41,101,81,236,93,89,90,689
2313941904,44,100,78,235,93,89,90,671
2313941905,45,103,82,237,93,89,90,706
2313941904,48,103,84,235,93,88,90,738
2313941905,44,101,82,232,93,88,90,511
2313941904,47,100,85,233,93,89,90,705
2313941905,44,101,81,237,93,89,90,725
2313941904,44,103,82,231,93,89,90,726
2313941905,46,100,79,235,93,89,90,761
2313941912,45,99,85,234,93,89,90,590
2313941913,46,103,78,240,93,89,90,710
2313941864,41,102,85,229,93,89,90,739
2313941865,47,103,80,237,93,88,90,753
2313941865,46,101,81,234,93,88,90,737
2313941864,43,100,82,234,93,89,90,590
2313941865,42,103,81,234,93,88,90,752
2313941864,43,99,79,236,93,88,90,755
2313941865,47,101,77,234,93,88,90,752
2313941864,44,102,79,236,93,88,90,665
2313941865,44,100,86,233,93,88,90,624
2313941872,48,101,83,234,93,89,90,729
2313941873,72,103,82,234,93,88,90,679
2313941864,42,101,82,238,93,88,90,737
2313941865,44,102,83,233,93,88,89,667
2313941864,46,103,83,234,93,88,89,560
2313941865,44,103,83,235,93,88,90,757
2313941864,43,100,82,236,93,88,90,720
2313941865,47,102,80,241,93,88,90,739
2313941864,44,100,81,241,93,88,90,719
2313941865,48,104,80,234,93,88,90,624
2313941872,40,99,83,234,93,88,90,737
2313941873,44,103,82,233,93,88,90,672
2313941884,43,101,78,235,93,88,90,649
2313941885,49,102,80,237,93,89,90,772
2313941884,42,102,81,234,93,88,89,654
2313941885,43,101,79,235,93,88,90,738
2313941884,25,70,79,237,93,89,90,748
2313941885,28,97,80,231,93,89,90,656
2313941884,27,73,79,235,93,89,90,658
2313941885,25,64,78,233,93,89,90,647
2313941892,24,34,80,237,93,89,90,743
2313941893,25,36,79,234,93,89,90,656
2313941884,25,48,85,234,93,89,90,740
2313941885,28,103,78,234,93,89,90,704
2313941884,26,91,80,230,93,88,90,646
2313941885,31,102,82,232,93,88,90,735
2313941884,30,102,82,231,93,88,90,653
2313941885,31,103,84,236,93,88,90,727
2313941884,29,103,82,231,93,88,90,651
2313941885,24,59,87,235,93,88,90,660
2313941892,28,102,80,239,93,88,90,749
2313941893,26,95,77,237,93,88,90,659
2313941904,31,103,81,232,93,88,90,753
2313941905,24,65,83,237,93,88,90,752
2313941904,30,102,84,234,93,88,90,662
2313941905,29,103,83,236,93,88,90,663
2313941904,29,100,81,236,93,88,90,675
2313941905,30,99,85,235,93,88,90,750
2313941904,31,96,80,233,93,88,90,670
2313941905,24,50,83,237,93,88,90,638
2313941912,26,81,80,232,93,88,90,662
2313941913,29,100,77,233,93,88,90,732
2313941904,26,82,85,234,93,88,90,747
2313941905,28,102,84,235,93,88,90,758
2313941904,23,34,79,238,93,88,90,668
2313941905,27,99,84,234,93,88,90,589
2313941904,51,101,84,236,93,89,90,739
2313941905,46,103,84,233,99,72,100,761
2313941904,48,100,78,236,98,81,94,709
2313941905,48,100,76,233,98,88,91,645
2313941912,49,103,82,237,98,91,89,656
2313941913,48,102,78,233,98,92,88,739
2313941984,45,104,80,233,98,92,88,621
2313941985,41,104,82,234,98,92,88,782
2313941984,42,102,78,235,98,92,88,706
2313941985,44,100,82,233,98,92,88,720
2313941984,45,102,82,232,98,91,88,734
2313941985,47,100,83,240,98,91,88,744
2313941984,46,98,80,237,98,90,89,752
2313941985,47,102,84,215,98,92,92,592
2313941992,47,93,75,234,98,91,91,661
2313941993,48,87,67,233,98,91,91,656
2313941984,44,85,65,234,98,90,90,613
